fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20230728 172326	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	392	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.133542147818782	0.551980718872682	774	18605	11476	69187952.023988	1
20230728 172850	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	376	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.207718533141412	0.474234398336442	330	38828	11754	69104536.7316342	2
20230728 173354	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	814	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.0771557948955813	0.746088301081208	404	33116	12501	69287464.7676162	3
20230728 173757	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	358	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.184479427693114	0.21485882766807	322	26679	11925	69445089.9550225	4
20230728 174227	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	441	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.17234613823716	0.883964554967447	932	9800	10860	65302098.9505247	5
20230728 174644	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	690	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.117404675859183	0.971173525720303	200	35956	10971	68312547.2263868	6
20230728 175055	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	717	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.232313769778997	0.624683466664233	564	43639	11476	67373379.3103448	7
20230728 175240	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	131	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.101136239011851	0.0226133987883425	885	19762	14194	64826755.6221889	8
20230728 175529	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	281	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.289687188967349	0.173536967682172	35	5955	10103	64770820.089955	9
20230728 175755	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	34	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.0524546751247422	0.76240312177859	116	14189	12013	64833023.988006	10
20230728 180122	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	257	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.265415671093846	0.26604892206656	649	23963	11036	67644323.838081	11
20230728 181151	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	723	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.0692221108447292	0.391274033658264	642	442	11451	67025110.9445277	12
20230728 181851	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	807	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.14271403593	0.32327541632957	148	48571	11620	68811304.3478261	13
20230728 182115	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	75	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.037053227464103	0.865993348197893	731	28756	12906	66180230.8845577	14
20230728 182436	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	622	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.213044391054598	0.0900509868998733	970	45938	11038	69289838.0809595	15
20230728 182931	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	406	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.256300556599865	0.679861315034628	475	8761	12322	64885994.0029985	16
20230728 183600	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1334	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.179358999122683	0.116378217099222	305	41806	12822	67637208.3958021	17
20230728 184017	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	369	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.180581485005954	0.263799188094734	343	41199	10809	69334799.1004498	18
20230728 184509	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	623	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.182018929427185	0.234578480905862	323	40565	12966	69138041.9790105	19
20230728 184929	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	542	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.183692932719158	0.206917747234467	314	39922	12858	69509118.4407796	20
20230728 185519	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	992	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.186078938997727	0.169228404364182	300	39109	11861	68133821.5892054	21
20230728 190502	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1021	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.144447494921821	0.48535978427322	506	31191	11616	67089811.0944528	22
20230728 191618	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1399	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.0775664786578851	0.345755252236636	360	31389	11390	69290209.8950525	23
20230728 191922	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	87	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.0550736186856845	0.297357125101296	334	31672	11268	65851772.113943	24
20230728 192325	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	420	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.183163037329739	0.723627733313901	436	27610	12503	67649200.8995502	25
20230728 192711	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	255	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.18339289734459	0.301388135819345	428	28404	12605	70215764.6176912	26
20230728 193133	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	380	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.183629316136129	0.298952454620199	606	28196	12236	67691640.17991	27
20230728 193934	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	920	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.182854612702454	0.308765250659608	208	13610	11039	64863689.6551724	28
20230728 194500	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	730	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.210399576830182	0.202686847400034	364	39578	10591	67548979.0104948	29
20230728 195050	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	842	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.209145145503189	0.218572136581262	361	46735	11060	68440449.7751125	30
20230728 195534	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	444	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.183354175291816	0.316434758250865	370	40042	11974	69172752.6236882	31
20230728 200131	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	663	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.174441180375143	0.332920223332589	393	39712	11688	69141877.0614693	32
20230728 201757	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2367	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.148116888327233	0.370622271584948	406	49969	11628	67719238.3808096	33
20230728 202637	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1165	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.162357244877694	0.302168261760194	395	48786	13413	68517881.5592204	34
20230728 203221	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	543	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.177285614541186	0.330315731382805	386	37894	11884	68693787.1064468	35
20230728 203734	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	518	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.177117228779899	0.330845236088351	391	37846	13093	69929935.5322339	36
20230728 204604	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	878	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.174231225143358	0.337656907169408	409	37374	12273	67685827.5862069	37
20230728 205544	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1289	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.176753260855962	0.329011591829403	374	38183	13121	67293011.994003	38
20230728 210140	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	707	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.182939569369041	0.300814942416959	352	39652	10612	69004179.910045	39
20230728 210409	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	24	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.18154106202506	0.310072764032372	341	39409	12903	65141494.7526237	40
20230728 210635	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	193	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.299559465019366	0.139329643738395	462	42175	13595	68012001.4992504	41
20230728 211149	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	732	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.201213167627557	0.218644929290742	401	42943	12157	67535356.8215892	42
20230728 211657	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	508	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.212654264033058	0.298076097685542	376	40144	14238	68597604.1979011	43
20230728 212106	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	349	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.293651801433665	0.312833937102209	294	35769	12254	67552302.8485757	44
20230728 212511	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	389	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.167540987802981	0.27102190458617	454	42677	12742	69905754.1229385	45
20230728 213048	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	780	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.155110167183559	0.226119412227593	646	44206	9844	68884551.7241379	46
20230728 213846	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1515	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.144866731616885	0.178029452107753	585	43995	11043	68633938.5307346	47
20230728 214624	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1161	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.160272593365206	0.242733754508538	717	43632	11698	68311937.0314843	48
20230728 215051	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	488	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.160253054741096	0.259687182999313	606	43233	12011	69949968.5157421	49
20230728 215757	882	1101133	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1070	1	1	1	FALSE	1	0.1	50	0.5	TRUE	111509	0.157818013135071	0.247912381336786	707	43517	12375	67279557.7211394	50
